speaker,text,transcripts-id
Anne Karhio," Okay, I think we are good to go.",20210524-180444
Anne Karhio," So we've had our Jingle now presumes that that means that we are, we are okay to proceed with the official.",20210524-180444
Anne Karhio," program so welcome everybody to this morning's first session I hope you've enjoyed the past few days, and you know refreshed after night's sleep ready for more zoom conversations, and so this wonderful panel is on platform possibilities and beyond, and we have three speakers and I will.",20210524-180444
Anne Karhio," Allow the speakers to to proceed, one by one, and then we'll have Q amp a and hopefully plenty of time for Q amp a.",20210524-180444
Anne Karhio," Afterwards, so without further ado i'd like to present our first speaker who is Samir Roy.",20210524-180444
Anne Karhio, Who is working on a master's thesis in English literature at the University of English.,20210524-180444
Anne Karhio, English foreign languages in Hebrew.,20210524-180444
Anne Karhio," And yeah go ahead, sorry yeah.",20210524-180444
Samya Roy, yeah hi can everyone hear me my audio problem yeah alright so you're going to scream.,20210524-180444
Samya Roy," Okay, is my screen visible.",20210524-180444
Anne Karhio, not yet not yet no.,20210524-180444
Samya Roy, not visible oh sorry.,20210524-180444
"S?ren Bro Pold (he, him)", Just says you've started screen sharing and then it's black.,20210524-180444
Samya Roy, Oh i'm sorry I think my screen must have frozen.,20210524-180444
Samya Roy," Then you could proceed with the next presenter or presenters Okay, and then I can probably come in later on, because my.",20210524-180444
Anne Karhio," Are you sure you've given your zoom I think you have to give it permission to access your to do share your screen there's the setting for that unless somebody knows better with this happened to me a few weeks ago, oh there we are.",20210524-180444
Anne Karhio," Okay, oh.",20210524-180444
susiecronin, it's that turned it off and turn it on again.,20210524-180444
None,select.,20210524-180444
Samya Roy, visible now yeah.,20210524-180444
Samya Roy, So sorry so sorry for.,20210524-180444
Samya Roy, That up whatever.,20210524-180444
Samya Roy," yeah alright, so my name is Roy i'm currently a master student in a few hyderabad and just finished representing my senses, so I will be talking about Indian electronic writing publix platforms and possibilities.",20210524-180444
Samya Roy," And you can, as you can see that there is a little solo written over there, means that i'll be focusing on solo Indian electronic writing now what is solo electronic writing.",20210524-180444
Samya Roy, Is that in my master's thesis I try to identify how people I mean people who don't really have any infrastructural support or any kind of.,20210524-180444
Samya Roy, mostly not academic understanding of what electronic signature is because mostly they don't.,20210524-180444
Samya Roy," And how do they create electronic literature, or how do they write on the web, in their own without any kind of support without any kind of infrastructure or technical support so yeah.",20210524-180444
Samya Roy, So the first thing we use publix and how I bring this into the picture I started with a survey I my survey went on from 15th of March June 15 of April.,20210524-180444
Samya Roy," are collected at nine text based interviews and from there, I clean the data and I got some data for my survey.",20210524-180444
Samya Roy, And in my survey also I requested for people to join and I wanted to create a Community for electronic signature and.,20210524-180444
Samya Roy," To create a Community for electronic traditional in India, I have to take help have two very important organizations.",20210524-180444
Samya Roy," One of them being 30, which is the digital humanities alliance for research and teaching innovations and gain studies, India, the Twitter handles and and the one website is mentioned for people, if you want to follow.",20210524-180444
Samya Roy," So this space, which is active in walks up is very important morality in the Indian context it's very important to bridge the divide, and this is where my publix comes into play, which was very important for me to collect my data.",20210524-180444
Samya Roy," And that gave rise to electronic signature India, which proved essentially in gathering and and seeing the presence and then pizza gate and the process of amplification.",20210524-180444
Samya Roy," And then coming to the platforms, I know I can't really elaborate on the data and analysis at this point, but you can take a screenshot if you want, and I am.",20210524-180444
Samya Roy," More than happy to talk on it, but since we have a shortage of time I can you elaborate on it, but i'll just quickly go through it.",20210524-180444
Samya Roy," So that not to take any of the others time in the platforms, want to try to see is the two very important aspects of the aspects of gender intentionality.",20210524-180444
Samya Roy," People who are dedicated to identify as male and female, I asked them that, why do they write online, what is the reason, and I see a marked difference between the gender and and why the right.",20210524-180444
Samya Roy," call for in the context of the meal, I see that they talk about feeling good and community, but to be a very important part, but the case of females 18% talk about cathartic responses and events occasionally.",20210524-180444
Samya Roy, faces to give you the space to kind of express themselves and about platforms also convenience forms a major part and why do they reject print.,20210524-180444
Samya Roy," Why can they not writing print and many people say that it is because it is interactive informal and three, which is very important when it comes to the context of India alright.",20210524-180444
Samya Roy," Then, apart from my thing I will also like to point out the darkest where I have been writing in English.",20210524-180444
